AUDITUSER,AUDITTIMESTAMP,ID,SAMPLENUM,SAMPLEDEFID,PROJECT,LOCATIONID,DATECOLLECTIONDUE,DATECOMPLETE,SAMPLEDBY,SAMPLEDTTIME,RECTYPE,SCHEDULETYPE,SAMPLESTATUS,SAMPLETYPEID,PH,TEMP,DO,NOTES,WASITPRINTED,SAMPLECOST,MISCCOST,TOTALCOST,CUSTOMERID,SAMPLEUD1,SAMPLEUD2,SAMPLEUD3,SAMPLEUD4,SAMPLEUD5,PARENTID,ASSIGNEDTOID,RECEIVEDBY,RECEIVED_DATETIME,LABID,SAMPLEVOLUME,PICKUPCOST,PREPCOST,TOTALTESTCOST,DISCOUNT,TAXRATE,SAMPLEUD6,SAMPLEUD7,SAMPLEUD8,SAMPLEUD9,PAYMENT,PAYMENTTYPE,PAYMENTNOTES,REJECTIONCODE,SAMPLENAME,SAMPLEDBYNAME,RCVDBYNAME,SAMPLELOCATION,ADHOC,LATEEMAILSENT,DUEEMAILSENT,ISCOMPLIANCE,LATERESULTEMAILSENT,NORESULTEMAILSENT
NARANJODL,"2025-09-05 13:50:02.000",20,260302-0005,8,NULL,105,"2026-03-02 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 13:50:03.000",21,260601-0004,8,NULL,105,"2026-06-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 14:00:05.000",22,251006-0002,9,NULL,106,"2025-10-06 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 14:00:05.000",23,260105-0002,9,NULL,106,"2026-01-05 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 14:00:05.000",24,260406-0002,9,NULL,106,"2026-04-06 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 14:00:05.000",25,260706-0002,9,NULL,106,"2026-07-06 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 14:04:56.000",26,250901-0005,10,NULL,106,"2025-09-01 00:00:00.000",NULL,0,NULL,0,Regular,0,2,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 14:04:57.000",27,260302-0006,10,NULL,106,"2026-03-02 00:00:00.000",NULL,0,NULL,0,Regular,0,2,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 14:06:57.000",28,250901-0006,11,NULL,107,"2025-09-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 14:06:58.000",29,251201-0005,11,NULL,107,"2025-12-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
