AUDITUSER,AUDITTIMESTAMP,EGROUPID,USERID,ACCESSLEVEL
OPSSYS_BD,"2024-02-19 14:00:00.487",2,263,2
OPSSYS_BD,"2024-02-19 14:00:00.487",3,263,2
OPSSYS_BD,"2024-02-19 14:00:00.487",1,288,2
OPSSYS_BD,"2024-02-19 14:00:00.490",2,288,2
OPSSYS_BD,"2024-02-19 14:00:00.490",3,288,2
OPSSYS_BD,"2024-02-19 14:00:00.490",1,274,2
OPSSYS_BD,"2024-02-19 14:00:00.493",2,274,2
OPSSYS_BD,"2024-02-19 14:00:00.493",3,274,2
OPSSYS_BD,"2024-02-19 14:00:00.493",1,289,2
OPSSYS_BD,"2024-02-19 14:00:00.497",2,289,2
OPSSYS_BD,"2024-02-19 14:00:00.497",3,289,2
OPSSYS_BD,"2024-02-19 14:00:00.500",1,292,2
OPSSYS_BD,"2024-02-19 14:00:00.500",2,292,2
OPSSYS_BD,"2024-02-19 14:00:00.500",3,292,2
OPSSYS_BD,"2024-02-19 14:00:00.500",1,293,2
OPSSYS_BD,"2024-02-19 14:00:00.503",2,293,2
OPSSYS_BD,"2024-02-19 14:00:00.503",3,293,2
OPSSYS_BD,"2024-02-19 14:00:00.507",1,296,2
OPSSYS_BD,"2024-02-19 14:00:00.507",2,296,2
OPSSYS_BD,"2024-02-19 14:00:00.507",3,296,2
OPSSYS_BD,"2024-02-19 14:00:00.510",1,300,2
OPSSYS_BD,"2024-02-19 14:00:00.510",2,300,2
OPSSYS_BD,"2024-02-19 14:00:00.510",3,300,2
OPSSYS_BD,"2024-02-19 14:00:00.513",1,306,2
OPSSYS_BD,"2024-02-19 14:00:00.513",2,306,2
OPSSYS_BD,"2024-02-19 14:00:00.517",3,306,2
OPSSYS_BD,"2024-02-19 14:00:00.517",1,114,2
OPSSYS_BD,"2024-02-19 14:00:00.520",2,114,2
OPSSYS_BD,"2024-02-19 14:00:00.520",3,114,2
OPSSYS_BD,"2024-02-19 14:00:00.520",1,328,2
OPSSYS_BD,"2024-02-19 14:00:00.520",2,328,2
OPSSYS_BD,"2024-02-19 14:00:00.523",3,328,2
OPSSYS_BD,"2024-02-19 14:00:00.523",1,117,2
OPSSYS_BD,"2024-02-19 14:00:00.527",2,117,2
OPSSYS_BD,"2024-02-19 14:00:00.527",3,117,2
OPSSYS_BD,"2024-02-19 14:00:00.527",1,118,2
OPSSYS_BD,"2024-02-19 14:00:00.530",2,118,2
OPSSYS_BD,"2024-02-19 14:00:00.530",3,118,2
OPSSYS_BD,"2024-02-19 14:00:00.530",1,124,2
OPSSYS_BD,"2024-02-19 14:00:00.530",2,124,2
OPSSYS_BD,"2024-02-19 14:00:00.533",3,124,2
OPSSYS_BD,"2024-02-19 14:00:00.537",1,356,2
OPSSYS_BD,"2024-02-19 14:00:00.537",2,356,2
OPSSYS_BD,"2024-02-19 14:00:00.537",3,356,2
OPSSYS_BD,"2024-02-19 14:00:00.540",1,39,2
OPSSYS_BD,"2024-02-19 14:00:00.540",2,39,2
OPSSYS_BD,"2024-02-19 14:00:00.540",3,39,2
OPSSYS_BD,"2024-02-19 14:00:00.543",1,44,2
OPSSYS_BD,"2024-02-19 14:00:00.547",2,44,2
OPSSYS_BD,"2024-02-19 14:00:00.550",3,44,2
OPSSYS_BD,"2024-02-19 14:00:00.550",1,45,2
OPSSYS_BD,"2024-02-19 14:00:00.550",2,45,2
OPSSYS_BD,"2024-02-19 14:00:00.550",3,45,2
OPSSYS_BD,"2024-02-19 14:00:00.553",1,359,2
OPSSYS_BD,"2024-02-19 14:00:00.553",2,359,2
OPSSYS_BD,"2024-02-19 14:00:00.557",3,359,2
OPSSYS_BD,"2024-02-19 14:00:00.557",1,313,2
OPSSYS_BD,"2024-02-19 14:00:00.560",2,313,2
OPSSYS_BD,"2024-02-19 14:00:00.560",3,313,2
OPSSYS_BD,"2024-02-19 14:00:00.560",1,128,2
OPSSYS_BD,"2024-02-19 14:00:00.563",2,128,2
OPSSYS_BD,"2024-02-19 14:00:00.563",3,128,2
OPSSYS_BD,"2024-02-19 14:00:00.567",1,129,2
OPSSYS_BD,"2024-02-19 14:00:00.567",2,129,2
OPSSYS_BD,"2024-02-19 14:00:00.570",3,129,2
OPSSYS_BD,"2024-02-19 14:00:00.570",1,314,2
OPSSYS_BD,"2024-02-19 14:00:00.570",2,314,2
OPSSYS_BD,"2024-02-19 14:00:00.573",3,314,2
OPSSYS_BD,"2024-02-19 14:00:00.573",1,315,2
OPSSYS_BD,"2024-02-19 14:00:00.577",2,315,2
OPSSYS_BD,"2024-02-19 14:00:00.580",3,315,2
OPSSYS_BD,"2024-02-19 14:00:00.583",1,360,2
OPSSYS_BD,"2024-02-19 14:00:00.590",2,360,2
OPSSYS_BD,"2024-02-19 14:00:00.590",3,360,2
OPSSYS_BD,"2024-02-19 14:00:00.590",1,361,2
