AUDITUSER,AUDITTIMESTAMP,ID,VARORDER,VARID,COLWIDTH,HDRBACKCOLOR,HDRFORECOLOR,COLBACKCOLOR,COLFORECOLOR,COLTYPE,FACILITYFILENAME
NULL,NULL,62,15,32,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,16,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,17,78,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,18,79,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,19,89,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,20,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,21,80,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,22,92,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,23,93,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,24,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,25,81,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,26,82,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,27,95,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,28,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,29,83,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,30,96,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,31,97,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,32,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,33,99,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,34,100,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,35,101,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,72,38,1326,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,63,-1000,-1000,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,63,-999,-999,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,63,-998,-998,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,63,-997,-997,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,63,0,0,5.0,-1,0,NULL,NULL,NULL,NULL
NULL,NULL,63,1,108,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,63,2,-9999,4.0,16777215,0,NULL,NULL,"",NULL
NULL,NULL,63,3,109,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,63,4,-9999,4.0,16777215,0,NULL,NULL,"",NULL
NULL,NULL,63,5,99,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,72,39,1327,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,40,1328,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,41,1329,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,42,1330,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,29,-1000,-1000,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,29,-999,-999,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,29,-998,-998,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,29,-997,-997,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,29,0,0,5.0,-1,0,NULL,NULL,NULL,NULL
NULL,NULL,29,1,76,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,2,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,3,155,21.5,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,4,78,16.875,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,5,79,16.5,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,58,117,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,59,118,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,60,119,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,61,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,62,90,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,63,110,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,64,111,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,63,6,100,26.75,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,63,7,101,21.5,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,63,8,-9999,4.0,16777215,0,NULL,NULL,"",NULL
NULL,NULL,63,9,103,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,63,10,104,21.75,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,63,11,105,22.625,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,24,65,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,66,106,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,67,107,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,6,89,22.125,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,7,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,8,145,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,9,80,19.5,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,10,92,17.25,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,11,93,20.5,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,67,-1000,-1000,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,67,-999,-999,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,67,-998,-998,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,67,-997,-997,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,67,0,0,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,67,1,120,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,67,2,121,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,67,3,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,67,4,122,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,67,5,123,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,67,6,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,67,7,134,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,67,8,135,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,12,-9999,4.0,16777215,0,NULL,NULL,NULL,NULL
NULL,NULL,29,13,186,21.125,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,14,-9999,4.0,16777215,0,NULL,NULL,NULL,NULL
NULL,NULL,29,15,184,16.75,-1,-1,NULL,NULL,NULL,NULL
